topology_build_id	topology_relationship_id	source_identity_set_id	assertion_id	source_assertion_registration_id	registration_unit_id	identity_kind	participant_role	source_namespace	source_identity_count	lossiness_status	resolution_status	source_identity_set_status	source_identity_expansion_status	statistical_testing_status	validation_status
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_64d363f3af5fef70dc6e767b	ar_ce5d95d28470ed056afcb8944130307bdb1465d1457f4d1cea0ab653a74c3e98		mark_phase3_canonical_vap_q1_ERR10619212			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_75104323f062cc586484fc2e	ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_76775ab47a37fb3b172c9b89	ar_e06553097cd6e48f9e81d0f4d369960d0fb776c4a77b2207df990475628d10d3		mark_phase3_canonical_vap_median_ERR10619300			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_7916885782a4ea0cd95ef59f	ar_fccad91cc8c6d833f77ebfef48c19f89ac4a515c7e4592a4c9a1486a8498289b		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_877501618dcdb70554025c7e	ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_8b2ba202411f7e3a6505aad6	ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_9507eae248c8719db9a5c254	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808		mark_phase3_canonical_vap_q1_ERR10619212			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_9f3ba26b526bb247b881da58	ar_b7757290bd7b38e32710643d16ad2d3004e2d89a716200952186a0dd3e0fa198		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_a8ec04b31286cb333dd4fc2f	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_b6e958beb9755d21a3d8218b	ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_c46ad070d052e85f2a294ca7	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_e14cc4541b02076929543d80	ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_ec5475cf99ce4d4210d6cdc6	ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b		mark_phase3_canonical_vap_q3_ERR10619225			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_f0bc305fdb65c253b81ec4f2	ar_a74d9cf823c5deadeacd8476fae2f325d3c9d7e6861a56fc5dd09007d5927723		mark_phase3_canonical_vap_q1_ERR10619212			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	sis_f1bb66e50fb4ed78cd13fcc8	ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f		mark_phase3_canonical_vap_hg002			vap_sample_id		lossless_by_reference	resolved		available_by_source_identity_set_reference	requires_source_identity_expansion	passed
