assertion_id	source_assertion_registration_id	participant_role	participant_value	participant_source	source_identity_set_id	participant_identity_kind	participant_source_namespace	participant_count	participant_resolution_status
ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c	9208504e5cea72e6437b7f4dd060ac98dde18d374ea3cceea000a586e5f262a8	gene	source_identity_set:sis_00058d7dda724ab41a793ce3	source_identity_set_reference	sis_00058d7dda724ab41a793ce3	gene	gsc_ensembl_gene_id	3543	resolved_from_source_identity_set
ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c	9208504e5cea72e6437b7f4dd060ac98dde18d374ea3cceea000a586e5f262a8	phenotype	source_identity_set:sis_3bef8f680162be0a363f885d	source_identity_set_reference	sis_3bef8f680162be0a363f885d	phenotype	gsc_phenotype	3543	resolved_from_source_identity_set
ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83	af22359ce68d20552803c94fc66ec8e471fbb4046809ef96cdb5ad874cc19ac5	gene	source_identity_set:sis_800acfcb126db984fdd75d12	source_identity_set_reference	sis_800acfcb126db984fdd75d12	gene	vap_ensembl_gene_id	710029	resolved_from_source_identity_set
ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83	af22359ce68d20552803c94fc66ec8e471fbb4046809ef96cdb5ad874cc19ac5	gene	source_identity_set:sis_57f3a0a9550582c19f23d714	source_identity_set_reference	sis_57f3a0a9550582c19f23d714	gene	vap_gene_symbol	710029	resolved_from_source_identity_set
ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83	af22359ce68d20552803c94fc66ec8e471fbb4046809ef96cdb5ad874cc19ac5	sample	source_identity_set:sis_474e3c446e7f5548d6997a09	source_identity_set_reference	sis_474e3c446e7f5548d6997a09	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83	af22359ce68d20552803c94fc66ec8e471fbb4046809ef96cdb5ad874cc19ac5	variant	source_identity_set:sis_8f93dadbd49cc819cf1c57dc	source_identity_set_reference	sis_8f93dadbd49cc819cf1c57dc	variant	vap_variant_id	710029	resolved_from_source_identity_set
ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa	b2b02a4f001b7762b98e2c6d5df20c939f2d830298e399a29833acbd999dca8b	gene	source_identity_set:sis_fd0ddd128426d1e221978606	source_identity_set_reference	sis_fd0ddd128426d1e221978606	gene	vap_ensembl_gene_id	757635	resolved_from_source_identity_set
ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa	b2b02a4f001b7762b98e2c6d5df20c939f2d830298e399a29833acbd999dca8b	gene	source_identity_set:sis_76530913488d10cca31c3752	source_identity_set_reference	sis_76530913488d10cca31c3752	gene	vap_gene_symbol	757635	resolved_from_source_identity_set
ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa	b2b02a4f001b7762b98e2c6d5df20c939f2d830298e399a29833acbd999dca8b	sample	source_identity_set:sis_b6e958beb9755d21a3d8218b	source_identity_set_reference	sis_b6e958beb9755d21a3d8218b	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa	b2b02a4f001b7762b98e2c6d5df20c939f2d830298e399a29833acbd999dca8b	variant	source_identity_set:sis_9c13c071352b0185b8f9e76d	source_identity_set_reference	sis_9c13c071352b0185b8f9e76d	variant	vap_variant_id	757635	resolved_from_source_identity_set
ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	gene	source_identity_set:sis_bd4a92849d6fb595f360a838	source_identity_set_reference	sis_bd4a92849d6fb595f360a838	gene	vap_ensembl_gene_id	2891	resolved_from_source_identity_set
