source_identity_set_id	assertion_id	source_assertion_registration_id	registration_unit_id	identity_kind	participant_role	source_namespace	source_identity_count
sis_c79055b9b9f1d5d6a51ac5c9	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f	c92eb1c57955adeea0855953fa874b3c2fcd663d8f6e387a34e4ddc31bce24e8	mark_phase3_canonical_vap_median_ERR10619300	gene	gene	vap_ensembl_gene_id	24041
sis_0d082a6f63bf26b229872025	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f	c92eb1c57955adeea0855953fa874b3c2fcd663d8f6e387a34e4ddc31bce24e8	mark_phase3_canonical_vap_median_ERR10619300	gene	gene	vap_gene_symbol	24041
sis_423c1bc901dfdace8398505a	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f	c92eb1c57955adeea0855953fa874b3c2fcd663d8f6e387a34e4ddc31bce24e8	mark_phase3_canonical_vap_median_ERR10619300	sample	sample	vap_sample_id	1
sis_bf9488e3b1a3951199e522a7	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f	c92eb1c57955adeea0855953fa874b3c2fcd663d8f6e387a34e4ddc31bce24e8	mark_phase3_canonical_vap_median_ERR10619300	variant	variant	vap_variant_id	24041
sis_44c7509c70ec25fd9b910f93	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349	d25d9eb852c7e8087b71c4c7288037f771a1ff314538ac287ad1980f3840327f	mark_phase3_canonical_vap_hg002	gene	gene	vap_ensembl_gene_id	4636584
sis_711ad78b3866e29e710b9c37	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349	d25d9eb852c7e8087b71c4c7288037f771a1ff314538ac287ad1980f3840327f	mark_phase3_canonical_vap_hg002	gene	gene	vap_gene_symbol	4636584
sis_a8ec04b31286cb333dd4fc2f	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349	d25d9eb852c7e8087b71c4c7288037f771a1ff314538ac287ad1980f3840327f	mark_phase3_canonical_vap_hg002	sample	sample	vap_sample_id	1
sis_cec33e159ed11a16e1253fba	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349	d25d9eb852c7e8087b71c4c7288037f771a1ff314538ac287ad1980f3840327f	mark_phase3_canonical_vap_hg002	variant	variant	vap_variant_id	4636584
sis_4bc446a0aa227e8fdf7a882a	ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f	475b6c6ca95cf3e004b382164ddacf9186cf826c95ecdf43406f9c001343964c	mark_phase3_canonical_vap_hg002	gene	gene	vap_ensembl_gene_id	4636584
sis_da107139bffb9a615b1f6410	ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f	475b6c6ca95cf3e004b382164ddacf9186cf826c95ecdf43406f9c001343964c	mark_phase3_canonical_vap_hg002	gene	gene	vap_gene_symbol	4636584
